2012PN200373,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 5 OF 10,AL07DD0005,57.15680556,-111.62750,2013-03-13 12:40,VERTICAL INTEGRATED,WATER,2.38,,15.3,,0.046,,0.4,,59.7,,0.003,L,0.001,,31.8,,0.013,,0.062,,0.003,,0.1,,0.043,,0.64,,0.005,,0.01,L,0.001,,392,,0.037,,0.037,,8.38,,6.03,,0.637,,0.79,L,0.001,L,0.005,L,0.001,,1.17,L,0.01,,0.14,,0.002,,267,L,0.01,,0.004,,0.012,,0.7,,0.003,,0.421,,0.194,,0.073,,0.9,,0.2,,51.8,,0.041,,0.56,,59.7,,0.007,,0.001,,34.9,,0.014,,0.175,,0.012,,0.17,,0.083,,1,,0.019,,0.01,,0.001,,600,,0.089,,0.082,,8.77,,14.5,,0.671,,0.89,,0.011,L,0.005,L,0.001,,1.26,L,0.01,,0.15,,0.002,,282,L,0.01,,0.005,,0.029,,1,,0.005,,0.402,,0.346,,0.117,,1.3,,0.2
2012PN200374,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 6 OF 10,AL07DD0005,57.15683333,-111.62653,2013-03-13 13:00,VERTICAL INTEGRATED,WATER,1.98,,12.4,,0.039,,0.39,,55.5,,0.004,L,0.001,,32.7,,0.011,,0.061,,0.003,,0.1,,0.043,,0.58,,0.005,,0.01,L,0.001,,410,,0.041,,0.03,,8.2,,6.73,,0.577,,0.73,,0.001,L,0.005,L,0.001,,1.12,L,0.01,,0.12,,0.001,,256,L,0.01,,0.004,,0.016,,0.5,,0.004,,0.386,,0.191,,0.07,,0.8,,0.1,,48.3,,0.03,,0.52,,55.9,,0.006,L,0.001,,31.7,,0.012,,0.188,,0.012,,0.16,,0.085,,0.63,,0.019,L,0.01,L,0.001,,631,,0.093,,0.065,,8.51,,15.6,,0.607,,0.81,,0.01,L,0.005,L,0.001,,1.24,L,0.01,,0.13,,0.001,,265,L,0.01,,0.004,,0.023,,1,,0.004,,0.373,,0.334,,0.114,,1,,0.2
2012PN200375,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 7 OF 10,AL07DD0005,57.15686111,-111.62572,2013-03-13 13:15,VERTICAL INTEGRATED,WATER,2.14,,11.9,,0.038,,0.4,,55,,0.003,L,0.001,,34.5,,0.012,,0.065,,0.002,,0.09,,0.043,,0.67,,0.005,,0.01,L,0.001,,433,,0.037,,0.037,,8.14,,7.23,,0.558,,0.74,L,0.001,L,0.005,,0.001,,1.12,L,0.01,,0.13,,0.001,,253,L,0.01,,0.004,,0.006,,0.5,,0.003,,0.372,,0.194,,0.07,,0.9,,0.1,,49.8,,0.034,,0.5,,56,,0.007,,0.001,,34.5,,0.012,,0.197,,0.011,,0.16,,0.08,,0.88,,0.018,,0.01,L,0.001,,644,,0.101,,0.077,,8.71,,15.4,,0.586,,0.78,,0.011,L,0.005,L,0.001,,1.24,L,0.01,,0.13,,0.002,,259,L,0.01,,0.004,,0.023,,1,,0.004,,0.366,,0.339,,0.114,,1.1,,0.2
2012PN200376,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 8 OF 10,AL07DD0005,57.15705556,-111.62503,2013-03-13 13:35,VERTICAL INTEGRATED,WATER,1.62,,11.8,,0.037,,0.37,,53.2,,0.003,L,0.001,,35,,0.011,,0.065,,0.002,,0.1,,0.044,,0.66,,0.004,,0.01,L,0.001,,443,,0.038,,0.036,,8.24,,8.46,,0.529,,0.68,,0.001,L,0.005,L,0.001,,1.11,L,0.01,,0.12,,0.001,,246,L,0.01,,0.004,,0.009,,0.6,,0.003,,0.355,,0.187,,0.07,,0.8,,0.1,,47.9,,0.035,,0.49,,52.7,,0.005,L,0.001,,35.2,,0.013,,0.183,,0.011,,0.15,,0.079,,0.75,,0.02,,0.01,L,0.001,,655,,0.094,,0.077,,8.69,,16.4,,0.558,,0.83,,0.009,L,0.005,L,0.001,,1.2,L,0.01,,0.12,,0.002,,251,L,0.01,,0.004,,0.018,,1,,0.004,,0.345,,0.351,,0.109,,0.9,,0.2
2012PN200377,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 9 OF 10,AL07DD0005,57.15747222,-111.62469,2013-03-13 13:50,VERTICAL INTEGRATED,WATER,1.34,,11.8,,0.038,,0.36,,51.3,,0.004,,0.002,,35.3,,0.011,,0.065,,0.003,,0.1,,0.047,,0.88,,0.005,,0.01,L,0.001,,468,,0.038,,0.066,,8.27,,10.2,,0.495,,0.67,L,0.001,L,0.005,L,0.001,,1.1,L,0.01,,0.11,,0.001,,238,L,0.01,,0.003,,0.015,,0.7,,0.003,,0.335,,0.184,,0.07,,1.1,,0.1,,40.7,,0.034,,0.51,,52.8,,0.007,,0.001,,33.9,,0.013,,0.161,,0.01,,0.28,,0.079,,1.89,,0.016,,0.01,L,0.001,,682,,0.084,,0.13,,8.81,,17.9,,0.527,,0.84,,0.007,L,0.005,L,0.001,,1.17,L,0.01,,0.12,,0.002,,240,L,0.01,,0.003,,0.063,,1.1,,0.004,,0.325,,0.305,,0.106,,1.8,,0.2
2012PN200378,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 10 OF 10,AL07DD0005,57.15758333,-111.62394,2013-03-13 14:38,VERTICAL INTEGRATED,WATER,1.88,,14.5,,0.04,,0.37,,52,,0.003,L,0.001,,36.4,,0.01,,0.069,,0.002,,0.1,,0.051,,0.64,,0.005,,0.01,L,0.001,,490,,0.041,,0.038,,8.58,,14.2,,0.488,,0.68,,0.001,L,0.005,L,0.001,,1.11,L,0.01,,0.11,,0.001,,235,L,0.01,,0.004,,0.033,,0.5,,0.002,,0.328,,0.193,,0.069,,0.9,,0.1,,33.9,,0.032,,0.52,,51.7,,0.005,,0.001,,35,,0.01,,0.139,,0.008,,0.16,,0.071,,0.83,,0.014,L,0.01,L,0.001,,675,,0.072,,0.07,,8.87,,21.9,,0.514,,0.72,,0.007,L,0.005,L,0.001,,1.17,L,0.01,,0.11,,0.003,,238,L,0.01,,0.003,,0.05,,0.8,,0.004,,0.318,,0.288,,0.097,,1,,0.2
2012PN200379,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M5 ABOVE MACKAY RIVER,AL07DD0005,57.15680556,-111.62705,2013-03-13 15:00,EQUAL VOLUME TRANSECT COMPOSITE,WATER,,,13,,0.046,,0.41,,60.4,,0.003,L,0.001,,32.2,,0.015,,0.06,,0.003,,0.1,,0.046,,1.05,,0.005,,0.01,L,0.001,,375,,0.035,,0.061,,8.51,,8.44,,0.678,,0.8,L,0.001,L,0.005,L,0.001,,1.19,L,0.01,,0.14,,0.001,,273,L,0.01,,0.004,,0.012,,0.6,,0.003,,0.426,,0.187,,0.07,,1.2,,0.1,,44.5,,0.043,,0.55,,62.4,,0.006,,0.001,,35.1,,0.014,,0.155,,0.01,,0.17,,0.079,,1.11,,0.017,,0.01,L,0.001,,566,,0.08,,0.108,,8.82,,15.7,,0.707,,0.91,,0.009,L,0.005,L,0.001,,1.26,L,0.01,,0.16,,0.002,,282,L,0.01,,0.005,,0.027,,1.2,,0.006,,0.424,,0.278,,0.108,,1.4,,0.2
2012PN200380,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M5 ABOVE MACKAY RIVER,AL07DD0005,57.15680556,-111.62705,2013-03-13 15:05,EQUAL VOLUME TRANSECT COMPOSITE,WATER,,,14.9,,0.048,,0.42,,61.9,,0.003,L,0.001,,34.3,,0.016,,0.059,,0.003,,0.1,,0.045,,0.97,,0.005,,0.01,L,0.001,,377,,0.036,,0.055,,8.47,,8.36,,0.686,,0.84,,0.001,L,0.005,L,0.001,,1.17,L,0.01,,0.15,,0.001,,278,L,0.01,,0.004,,0.025,,0.7,,0.003,,0.428,,0.185,,0.07,,1.2,,0.1,,42.6,,0.045,,0.56,,61.2,,0.005,L,0.001,,35.2,,0.016,,0.165,,0.01,,0.15,,0.075,,1.2,,0.017,L,0.01,L,0.001,,556,,0.086,,0.102,,8.81,,15,,0.704,,0.89,,0.008,L,0.005,L,0.001,,1.25,L,0.01,,0.15,,0.002,,281,L,0.01,,0.005,,0.049,,0.9,,0.006,,0.429,,0.344,,0.109,,1.4,,0.2
2012PN200381,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M5 ABOVE MACKAY RIVER,AL07DD0005,57.15680556,-111.62705,2013-03-13 15:10,EQUAL VOLUME TRANSECT COMPOSITE,WATER,,,14.2,,0.045,,0.4,,59.9,,0.003,L,0.001,,33.7,,0.013,,0.058,,0.003,,0.1,,0.045,,0.84,,0.005,,0.01,L,0.001,,380,,0.035,,0.049,,8.15,,8.45,,0.669,,0.8,L,0.001,L,0.005,L,0.001,,1.16,L,0.01,,0.15,,0.001,,274,L,0.01,,0.004,,0.01,,0.6,,0.003,,0.422,,0.188,,0.07,,1.1,,0.1,,43.9,,0.037,,0.56,,60.7,,0.006,,0.001,,34,,0.014,,0.166,,0.011,,0.19,,0.075,,0.84,,0.017,,0.01,L,0.001,,574,,0.082,,0.101,,8.68,,15.8,,0.68,,0.94,,0.011,L,0.005,L,0.001,,1.24,L,0.01,,0.16,,0.002,,275,L,0.01,,0.004,,0.023,,1,,0.005,,0.417,,0.384,,0.11,,1.2,,0.2
2013PN200001,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 2 OF 10,AL07DD0008,56.83851,-111.41779,2013-05-22 14:07,VERTICAL INTEGRATED,WATER,1.7,,82.3,,0.1,,0.68,,43.9,,0.02,,0.006,,25.1,,0.015,,0.603,,0.023,,0.16,,0.187,,2.2,,0.037,,0.03,,0.001,,285,,0.278,,0.265,,5.73,,5.25,,0.627,,2.68,,0.004,L,0.005,L,0.001,,1.13,,0.04,,0.17,,0.005,,166,L,0.01,,0.01,,0.006,,1.2,,0.002,,0.498,,0.509,,0.465,,1.2,,0.4,,7210,,0.202,,4.3,,142,,0.374,,0.102,,35.8,,0.132,,13.7,,1.49,,9.66,,3.99,,10.1,,2.26,,0.18,,0.009,,9910,,6.54,,5.68,,13,,187,,1.15,,11.9,,0.224,L,0.005,,0.004,,16.3,,1.59,,0.46,,0.062,,214,,0.05,,0.15,,0.277,,98.5,,0.02,,0.97,,18.9,,5,,32,,4.2
2013PN200002,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 6 OF 10,AL07DD0008,56.83862,-111.41478,2013-05-22 15:42,VERTICAL INTEGRATED,WATER,3.5,,85.2,,0.089,,0.68,,45.3,,0.021,,0.006,,20,,0.014,,0.589,,0.023,,0.15,,0.182,,2.15,,0.036,,0.01,,0.001,,279,,0.271,,0.258,,5.37,,4.43,,0.625,,2.69,,0.005,L,0.005,L,0.001,,1.08,,0.03,,0.17,,0.004,,164,L,0.01,,0.009,L,0.005,,1.2,,0.002,,0.488,,0.494,,0.47,,1.1,,0.4,,6880,,0.198,,3.98,,146,,0.383,,0.1,,31.6,,0.122,,12.8,,1.42,,9.08,,3.83,,9.81,,2.14,,0.19,,0.014,,9420,,6.21,,5.43,,12.3,,180,,1.12,,11.5,,0.223,,0.005,,0.001,,15.6,,1.34,,0.47,,0.055,,211,,0.08,,0.143,,0.259,,89.7,,0.025,,0.92,,17.7,,4.78,,30.4,,3.8
2013PN200003,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2013-05-22 16:57,VERTICAL INTEGRATED,WATER,3.5,,85.2,,0.052,,0.73,,25.8,,0.019,,0.006,,28.2,,0.008,,0.703,,0.014,,0.21,,0.177,,1.42,,0.038,,0.02,,0.001,,565,,0.325,,0.31,,4.8,,8.16,,0.349,,1.86,,0.007,L,0.005,L,0.001,,1.05,,0.04,,0.07,,0.003,,83.1,L,0.01,,0.005,,0.006,,2.1,,0.001,,0.175,,0.667,,0.422,,0.8,,0.4,,5590,,0.127,,3.71,,89.5,,0.308,,0.075,,39.1,,0.082,,14.1,,1.04,,7.84,,3.58,,8.29,,1.88,,0.22,,0.006,,9240,,6.53,,4.31,,11.4,,211,,0.6,,9.23,,0.204,L,0.005,,0.003,,12.7,,1.19,,0.29,,0.047,,106,,0.06,,0.097,,0.213,,95.3,,0.016,,0.536,,15.5,,4.65,,24.6,,3.5
2013PN200004,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M3, 6.5 KM BELOW WSC GAUGE 07DA001",AL07DD0008,56.8388,-111.41548,2013-05-22 18:30,ISOKINETIC TRANSECT COMPOSITE - EWI,WATER,,,80.3,,0.078,,0.7,,38.4,,0.02,,0.005,,22.8,,0.015,,0.636,,0.019,,0.18,,0.172,,2.26,,0.038,,0.02,,0.001,,373,,0.293,,0.298,,5.19,,5.05,,0.521,,2.41,,0.004,L,0.005,L,0.001,,1.08,,0.03,,0.13,,0.004,,133,L,0.01,,0.008,,0.007,,1.4,,0.007,,0.383,,0.558,,0.461,,1.1,,0.4,,7930,,0.217,,4.92,,149,,0.46,,0.139,,36.8,,0.151,,17.1,,1.56,,10.8,,4.69,,12,,2.6,,0.22,,0.011,,11700,,8.02,,6.37,,13.8,,243,,1.07,,13.7,,0.242,L,0.005,,0.001,,17.9,,1.72,,0.49,,0.071,,187,,0.05,,0.162,,0.427,,120,,0.036,,0.949,,21.1,,5.99,,38.3,,4.7
2013PN200005,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M3, 6.5 KM BELOW WSC GAUGE 07DA001",AL07DD0008,56.8388,-111.41548,2013-05-22 18:35,ISOKINETIC TRANSECT COMPOSITE - EWI,WATER,,,80.1,,0.077,,0.68,,37.2,,0.02,,0.008,,23.7,,0.016,,0.659,,0.022,,0.17,,0.186,,2.03,,0.037,,0.02,L,0.001,,373,,0.299,,0.298,,5.07,,5.88,,0.518,,2.41,,0.006,L,0.005,L,0.001,,1.08,,0.03,,0.14,,0.004,,132,L,0.01,,0.007,,0.02,,1.5,,0.003,,0.373,,0.572,,0.461,,1.2,,0.4,,7210,,0.189,,4.34,,139,,0.381,,0.105,,31.7,,0.128,,14.6,,1.39,,9.67,,4.19,,10.1,,2.34,,0.24,,0.011,,10300,,6.99,,5.43,,12.6,,216,,0.963,,11.7,,0.235,,0.005,,0.002,,16,,1.4,,0.45,,0.083,,178,,0.04,,0.144,,0.31,,106,,0.02,,0.831,,19.1,,5.2,,31.4,,4.4
2013PN200006,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M3, 6.5 KM BELOW WSC GAUGE 07DA001",AL07DD0008,56.8388,-111.41548,2013-05-22 18:40,ISOKINETIC TRANSECT COMPOSITE - EWI,WATER,,,85.8,,0.081,,0.7,,38.6,,0.021,,0.007,,22.5,,0.017,,0.652,,0.019,,0.18,,0.193,,1.99,,0.039,,0.02,L,0.001,,369,,0.291,,0.396,,5.16,,5.86,,0.525,,2.51,,0.005,L,0.005,L,0.001,,1.06,,0.04,,0.14,,0.005,,143,L,0.01,,0.007,,0.009,,1.6,,0.004,,0.39,,0.574,,0.464,,1.5,,0.4,,7030,,0.192,,4.23,,131,,0.375,,0.098,,33.4,,0.153,,13.8,,1.36,,9.51,,3.84,,9.81,,2.23,,0.21,,0.012,,9820,,6.58,,5.72,,12.4,,198,,1,,11.4,,0.227,L,0.005,,0.004,,15.7,,1.48,,0.48,,0.057,,180,,0.08,,0.146,,0.296,,99.7,,0.021,,0.816,,18.4,,4.81,,33.2,,4.6
2013PN200007,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 5 OF 10,AL07DD0004,57.12697222,-111.60242,2013-06-24 13:47,VERTICAL INTEGRATED,WATER,4.1,,102,,0.085,,0.69,,42.3,,0.017,,0.003,,18.5,,0.011,,0.485,,0.019,,0.16,,0.153,,1.67,,0.041,,0.01,L,0.001,,319,,0.227,,0.213,,4.54,,5.25,,0.59,,2.14,,0.008,L,0.005,L,0.001,,0.935,,0.16,,0.17,RANGEH,0.018,,167,L,0.01,,0.006,,0.006,,3.4,L,0.001,,0.403,,0.61,,0.391,,0.8,,0.4,,3820,,0.072,,2.85,,103,,0.229,,0.071,,22.8,,0.077,,8.9,,0.868,,5.27,,2.3,,6.52,,1.26,,0.13,,0.016,,6060,,4.23,,3.3,,9.15,,128,,0.929,,7.28,,0.135,L,0.005,L,0.001,,9.76,,1.58,,0.3,,0.04,,194,,0.04,,0.091,,0.152,,52.3,,0.009,,0.703,,10.5,,3.24,,18.2,,3.1
2013PN200008,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 9 OF 10,AL07DD0004,57.12761111,-111.60014,2013-06-24 15:32,VERTICAL INTEGRATED,WATER,8.78,,65.9,,0.072,,0.81,,35.2,,0.02,,0.004,,21.5,,0.008,,0.663,,0.014,,0.17,,0.167,,1.7,,0.034,,0.02,L,0.001,,417,,0.308,,0.286,,4.42,,6.16,,0.43,,2.28,,0.004,L,0.005,L,0.001,,0.951,,0.01,,0.16,,0.001,,128,L,0.01,,0.006,,0.007,,1.7,,0.018,,0.296,,0.597,,0.444,,0.9,,0.5,,6010,,0.074,,4.02,,111,,0.335,,0.09,,36.1,,0.09,,14.3,,1.15,,8.33,,3.72,,8.01,,1.94,,0.22,,0.02,,9510,,6.55,,4.45,,11.5,,208,,0.746,,10.3,,0.205,,0.005,,0.003,,13.6,,2.11,,0.36,,0.056,,162,,0.02,,0.119,,0.182,,88.9,,0.008,,0.7,,16.5,,4.93,,26.2,,4.4
2013PN200009,OIL SANDS LONGTERM WQ MONITORING,M4 LT WQ PANEL 10 OF 10,AL07DD0004,57.12763889,-111.60003,2013-06-24 16:04,VERTICAL INTEGRATED,WATER,5.8,,64.3,,0.081,,0.8,,36.2,,0.019,,0.005,,21.5,,0.009,,0.661,,0.017,,0.18,,0.159,,1.56,,0.035,,0.01,,0.001,,410,,0.303,,0.282,,4.62,,6.49,,0.465,,2.25,,0.006,L,0.005,L,0.001,,1.02,,0.01,,0.15,,0.002,,125,L,0.01,,0.007,,0.013,,1.7,,0.01,,0.293,,0.607,,0.455,,0.7,,0.5,,4800,,0.056,,3.39,,94.9,,0.295,,0.112,,29.5,,0.077,,12.4,,1,,7.07,,3.11,,6.73,,1.64,,0.18,,0.021,,8140,,5.69,,3.85,,10.3,,174,,0.667,,8.82,,0.189,L,0.005,,0.003,,11.9,,1.79,,0.31,,0.047,,145,,0.01,,0.101,,0.178,,74.4,,0.01,,0.634,,13.5,,4.27,,21.7,,3.8
2013PN200010,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M4 ABOVE MUSKEG RIVER,AL07DD0004,57.12697222,-111.60242,2013-06-24 16:15,ISOKINETIC TRANSECT COMPOSITE - EWI,WATER,,,56.2,,0.085,,0.77,,39.3,,0.018,,0.003,,21.2,,0.019,,0.524,,0.014,,0.16,,0.134,,1.78,,0.028,,0.01,L,0.001,,327,,0.24,,0.248,,4.54,,5.01,,0.529,,2.23,,0.004,L,0.005,L,0.001,,0.942,,0.01,,0.16,,0.002,,154,L,0.01,,0.007,,0.008,,0.9,L,0.001,,0.367,,0.538,,0.401,,1.2,,0.4,,3990,,0.07,,3.01,,95.7,,0.243,,0.073,,24.6,,0.106,,9.53,,0.866,,5.64,,2.58,,6.46,,1.31,,0.13,,0.016,,6450,,4.43,,3.38,,9.04,,144,,0.793,,7.81,,0.141,L,0.005,L,0.001,,10.1,,1.56,,0.34,,0.039,,170,,0.02,,0.092,,0.155,,54.9,,0.009,,0.643,,11.2,,3.43,,20.9,,3.1
2013PN200011,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M4 ABOVE MUSKEG RIVER,AL07DD0004,57.12697222,-111.60242,2013-06-24 16:20,ISOKINETIC TRANSECT COMPOSITE - EWI,WATER,,,55.5,,0.079,,0.75,,40.2,,0.017,,0.004,,19.1,,0.019,,0.521,,0.014,,0.15,,0.131,,1.64,,0.029,,0.01,L,0.001,,331,,0.247,,0.242,,4.48,,5.01,,0.536,,2.19,,0.003,L,0.005,L,0.001,,0.945,,0.02,,0.16,,0.003,,150,L,0.01,,0.007,,0.012,,1.1,,0.004,,0.36,,0.511,,0.397,,1,,0.4,,4400,,0.076,,3.29,,99.5,,0.249,,0.082,,24.9,,0.109,,10.6,,0.928,,6.2,,2.73,,6.71,,1.45,,0.15,,0.018,,6910,,4.96,,3.56,,9.52,,155,,0.778,,8.21,,0.152,RANGEH,0.014,,0.001,,10.7,,1.65,,0.34,,0.047,,176,,0.03,,0.095,,0.171,,64.1,,0.009,,0.687,,12.2,,3.71,,21.7,,3.2
2013PN200012,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M4 ABOVE MUSKEG RIVER,AL07DD0004,57.12697222,-111.60242,2013-06-24 16:25,ISOKINETIC TRANSECT COMPOSITE - EWI,WATER,,RANGEH,183,,0.069,,0.72,,38.8,,0.017,,0.004,,19.6,,0.025,,0.513,,0.015,,0.27,,0.144,,1.76,,0.039,,0.02,L,0.001,,326,,0.245,,0.232,,4.42,,4.92,,0.548,,2.27,,0.007,L,0.005,,0.001,,0.975,RANGEH,0.19,,0.15,RANGEH,0.012,,152,L,0.01,,0.007,,0.024,RANGEH,7,,0.004,,0.359,,0.815,,0.401,,1.2,,0.4,,4570,,0.047,,3.19,,98.6,,0.254,,0.075,,26.1,,0.135,,10.3,,0.933,,6.39,,2.75,,6.41,,1.44,,0.2,,0.017,,7140,,4.83,,3.54,,9.46,,153,,0.807,,8.19,,0.158,L,0.005,,0.001,,10.8,,1.71,,0.34,,0.041,,177,,0.01,,0.098,,0.171,,59.9,,0.006,,0.661,,12.6,,3.64,,24.4,,3.4
2013PN200013,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 5 OF 10,AL07DD0005,57.15680556,-111.62750,2013-06-25 13:57,VERTICAL INTEGRATED,WATER,6.4,,72.8,,0.094,,0.81,,44.7,,0.021,,0.004,,20.9,,0.01,,0.594,,0.02,,0.16,,0.138,,2.14,,0.032,,0.02,L,0.001,,323,,0.272,,0.282,,4.64,,6.19,,0.675,,2.5,,0.004,L,0.005,L,0.001,,1.18,,0.19,,0.23,,0.004,,170,L,0.01,,0.011,,0.009,,10.9,,0.003,,0.482,,1.22,,0.405,,1.3,,0.7,,8020,,0.129,,5.22,,168,,0.422,,0.132,,27.8,,0.159,,17.1,,1.65,,11.2,,4.91,,11.6,,2.56,,0.3,,0.024,,12000,,8.14,,6.44,,13,,256,,1.22,,16.8,,0.229,,0.009,,0.001,,18.3,,2.94,,0.53,,0.077,,205,L,0.01,,0.181,,0.239,,95.3,,0.015,,1.03,,22.4,,6.21,,39.1,,4.1
2013PN200014,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 9 OF 10,AL07DD0005,57.15747222,-111.62469,2013-06-25 15:00,VERTICAL INTEGRATED,WATER,5,,72.7,,0.077,,0.76,,39.1,,0.018,,0.004,,22.3,,0.012,,0.658,,0.02,,0.18,,0.173,,1.75,,0.035,,0.01,,0.001,,447,,0.296,,0.3,,4.64,,7.59,,0.513,,2.31,,0.004,L,0.005,L,0.001,,1.02,,0.01,,0.14,,0.002,,136,L,0.01,,0.007,L,0.005,,1.3,L,0.001,,0.366,,0.63,,0.45,,0.9,,0.5,,6820,,0.111,,4.63,,137,,0.388,,0.111,,27.6,,0.119,,16,,1.38,,9.74,,4.4,,9.81,,2.24,,0.21,,0.023,,10800,,7.81,,5.62,,12.3,,235,,0.975,,12.3,,0.227,,0.015,,0.001,,15.3,,2.6,,0.47,,0.072,,169,,0.05,,0.141,,0.223,,94.2,,0.009,,0.843,,19.3,,5.61,,32.5,,4.8
2013PN200015,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 10 OF 10,AL07DD0005,57.15758333,-111.62394,2013-06-25 15:38,VERTICAL INTEGRATED,WATER,5.4,,91,,0.076,,0.79,,39.1,,0.019,,0.004,,23.1,,0.011,,0.634,,0.019,,0.2,,0.174,,1.82,,0.038,,0.02,L,0.001,,420,,0.293,,0.284,,4.55,,7.79,,0.5,,2.37,,0.006,L,0.005,,0.001,,1.02,,0.01,,0.17,,0.003,,139,L,0.01,,0.007,,0.006,,2.3,L,0.001,,0.36,,0.674,,0.438,,0.9,,0.5,,7220,,0.109,,4.64,,138,,0.364,,0.114,,29.2,,0.13,,15.9,,1.34,,10.1,,4.53,,10,,2.28,,0.23,,0.022,,10900,,7.53,,5.63,,12.5,,238,,0.952,,12.4,,0.234,,0.005,RANGEH,0.017,,15.3,,2.73,,0.44,,0.071,,170,,0.04,,0.142,,0.24,,94.6,,0.008,,0.822,,19.9,,5.61,,33.7,,4.9
2013PN200016,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M5 ABOVE MACKAY RIVER,AL07DD0005,57.15680556,-111.62705,2013-06-25 15:50,ISOKINETIC TRANSECT COMPOSITE - EWI,WATER,,,70,,0.091,,0.78,,43.8,,0.021,,0.005,,20.2,,0.015,,0.709,,0.018,,0.17,,0.144,,1.99,,0.033,,0.02,L,0.001,,345,,0.273,,0.291,,4.68,,6.42,,0.639,,2.46,,0.004,,0.005,,0.001,,0.993,,0.21,,0.2,,0.002,,162,L,0.01,,0.009,,0.012,,12.1,,0.004,,0.464,,1.28,,0.438,,1.4,,0.7,,8610,,0.11,,5.48,,173,,0.457,,0.131,,22.5,,0.166,,18.7,,1.66,,11.8,,5.25,,12.1,,2.75,,0.23,,0.027,,12700,,8.9,,6.87,,13.8,,274,,1.18,,14.7,,0.242,,0.014,,0.001,,18.4,,3.36,,0.56,,0.08,,205,,0.04,,0.184,,0.286,,102,,0.011,,1.07,,23.4,,6.72,,40.5,,4.7
2013PN200017,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M5 ABOVE MACKAY RIVER,AL07DD0005,57.15680556,-111.62705,2013-06-25 15:55,ISOKINETIC TRANSECT COMPOSITE - EWI,WATER,,RANGEH,371,,0.099,,0.78,,44.7,,0.022,,0.006,,20.3,,0.026,,0.726,RANGEH,0.037,RANGEH,0.49,,0.182,,2.25,RANGEH,0.092,,0.02,,0.001,,515,,0.349,,0.331,,4.64,,6.77,,0.641,,2.4,RANGEH,0.038,L,0.005,,0.001,,1.25,,0.23,,0.21,RANGEH,0.015,,164,L,0.01,,0.011,,0.01,,11.7,,0.004,,0.466,,1.34,,0.456,,1.5,,0.9,,8350,,0.129,,5.48,,171,,0.457,,0.131,,25.5,,0.198,,17.9,,1.57,,11.7,,5.05,,12.1,,2.66,,0.22,,0.024,,12300,,8.56,,6.71,,13.5,,263,,1.21,,14.3,,0.231,L,0.005,,0.004,,17.5,,3.09,,0.56,,0.081,,203,,0.05,,0.176,,0.268,,101,,0.013,,1.04,,23.2,,6.5,,41.5,,4.8
2013PN200018,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M5 ABOVE MACKAY RIVER,AL07DD0005,57.15680556,-111.62705,2013-06-25 16:00,ISOKINETIC TRANSECT COMPOSITE - EWI,WATER,,,77,,0.097,,0.78,,43.1,,0.018,,0.005,,20.9,,0.026,,0.61,,0.021,,0.16,,0.153,,2.34,,0.036,,0.02,,0.001,,343,,0.283,,0.296,,4.71,,5.86,,0.648,,2.5,,0.005,L,0.005,L,0.001,,1.02,,0.03,,0.18,,0.004,,160,L,0.01,,0.009,,0.008,,1.9,L,0.001,,0.463,,0.655,,0.421,,1.2,,0.5,,8020,,0.154,,5.3,,167,,0.44,,0.125,,32,,0.232,,17.7,,1.56,,11,,4.79,,12.1,,2.62,,0.21,,0.024,,11800,,8.48,,6.62,,13.2,,259,,1.19,,13.9,,0.245,,0.011,,0.002,,17,,3.11,,0.54,,0.076,,199,,0.02,,0.17,,0.271,,99.5,,0.009,,1.03,,22.4,,6.35,,39.5,,5
